run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w256_d16,6,geopotential,500,31.13852694360948,122.55849198853582,-293.5911682992709
k1_w256_d16,6,u_component_of_wind,1,19.89105783588024,22.133473137606984,-11.273484398008193
k1_w256_d16,6,u_component_of_wind,2,14.808786249493675,14.390777993257448,2.8227043674866947
k1_w256_d16,6,u_component_of_wind,3,11.813944705597986,12.402274906357675,-4.97996406298491
k1_w256_d16,6,u_component_of_wind,5,10.582284597279084,12.288059249954332,-16.1191530712927
k1_w256_d16,6,u_component_of_wind,7,10.734911366240992,13.15892055379434,-22.580616689359356
k1_w256_d16,6,u_component_of_wind,10,11.367662377437185,15.647668069994001,-37.65071085372729
k1_w256_d16,6,u_component_of_wind,20,5.027319534514148,7.61785447953463,-51.529148430602746
k1_w256_d16,6,u_component_of_wind,30,4.870175131043882,6.999032623788514,-43.71213427572016
k1_w256_d16,6,v_component_of_wind,1,12.650821521634215,14.152024140020112,-11.866443738998967
k1_w256_d16,6,v_component_of_wind,2,9.32051501398184,9.779000670076213,-4.919102167708456
k1_w256_d16,6,v_component_of_wind,3,7.377398002654424,7.724504263873173,-4.704995732829631
k1_w256_d16,6,v_component_of_wind,5,5.7748836147911335,6.16924810486125,-6.828959964838699
k1_w256_d16,6,v_component_of_wind,7,5.008131173043137,5.57386628942047,-11.296331841755048
k1_w256_d16,6,v_component_of_wind,10,4.115790792237513,5.32679741622952,-29.423425172047036
k1_w256_d16,6,v_component_of_wind,20,3.008941802687958,5.228604936874398,-73.76889550351433
k1_w256_d16,6,v_component_of_wind,30,2.687952154629618,4.641406836879177,-72.67445883979033
k1_w256_d16,6,specific_humidity,1,8.822090230926471e-07,3.961318933745044e-07,55.097728202117494
k1_w256_d16,6,specific_humidity,2,6.319030013197258e-07,1.6715684924372518e-07,73.54707148175922
k1_w256_d16,6,specific_humidity,3,5.566283515854871e-07,1.6041703695636303e-07,71.1805845858489
k1_w256_d16,6,specific_humidity,5,4.6491624455131087e-07,2.1664491779918213e-07,53.401301774631385
