run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,3.0,6.894158364596004e-12,1.1180397669983332e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,5.0,6.959709655962159e-12,1.1213523861254099e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,7.0,7.049454723725454e-12,1.120763667475406e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,10.0,6.904741347396527e-12,1.1124323568197249e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,20.0,5.3435425763698175e-12,8.548183570341701e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,30.0,3.906649930766201e-12,6.706500876428996e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,50.0,3.665392761854649e-12,1.104960144835875e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,70.0,2.4087816302428625e-12,1.342534565226673e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,100.0,2.305795471391585e-12,1.116603465378979e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,125.0,1.980715439158574e-12,6.405811379144371e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,150.0,2.2718102831329924e-12,6.052297774967909e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,175.0,2.7887149269078502e-12,4.5419979281322085e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,200.0,3.3221211096406432e-12,5.255809397972968e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,225.0,2.8765502800703413e-12,3.787883025687926e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,250.0,3.164678334531436e-12,4.334230344955334e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,300.0,5.122975064937647e-12,6.470853806368409e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,350.0,7.957461985959718e-12,1.0187204959599206e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,400.0,1.552316402925363e-11,1.8785800294599557e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,450.0,3.5263638976948825e-11,4.074769998199372e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,500.0,7.745687769108952e-11,8.684996317004577e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,550.0,1.3065076468198478e-10,1.3653683681950754e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,600.0,1.0494442934458747e-10,1.1343074443166646e-10
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,650.0,1.0600061239225198e-10,1.1468611966460484e-10
