recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,70.0,1.7846091530860442e-08,9.11406127870768e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,100.0,2.4404416442267254e-08,8.31647172429266e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,125.0,2.6204733473029824e-08,9.344080958618893e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,150.0,3.606707863858249e-08,9.51715404482595e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,175.0,5.165231796748031e-08,8.604428171956689e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,200.0,7.032230578699211e-08,1.2169458437176925e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,225.0,6.850182376503042e-08,9.346752400100742e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,250.0,8.373696774170497e-08,1.2906495698141935e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,300.0,1.6266388639162088e-07,2.1712647150652747e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,350.0,2.9477473882695485e-07,3.9014933557224133e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,400.0,6.571853645836018e-07,8.6530748779326e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,450.0,1.6795281485930959e-06,1.9818238601187523e-06
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,500.0,4.098997348153038e-06,4.604648387238766e-06
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,550.0,7.605404070156079e-06,8.034852907809264e-06
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,600.0,6.664357542222943e-06,7.3015948177681715e-06
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,650.0,7.292381451889733e-06,7.984277111008978e-06
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,700.0,9.630639155049255e-06,1.0474987587117614e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,750.0,1.3226084536386766e-05,1.433287128672873e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,775.0,1.5388356816938483e-05,1.6833118013958397e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,800.0,1.8341871982577753e-05,2.34827143954879e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,825.0,2.4785072184291057e-05,3.5629341124630205e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,850.0,3.029226235654559e-05,6.07486819801947e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,875.0,3.1966199129702025e-05,9.429190714998705e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,900.0,2.9391867232558847e-05,7.742288961677183e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,925.0,2.431634010385436e-05,4.2344266718567744e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,950.0,1.72716587495493e-05,4.2412620876151036e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,975.0,1.0698851612941216e-05,3.3511707425248147e-05
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,1000.0,6.4452979309238815e-06,1.0830392638643815e-05
current_v2,r2p8_w128_di32,temperature,1.0,0.0002473744776671729,0.0010464414414154794
current_v2,r2p8_w128_di32,temperature,2.0,0.00032541641380227546,0.0051242429740820045
current_v2,r2p8_w128_di32,temperature,3.0,0.00031965124962543475,0.009647730433308774
current_v2,r2p8_w128_di32,temperature,5.0,0.00030193290004890664,0.012316689280361167
current_v2,r2p8_w128_di32,temperature,7.0,0.0002817187674632871,0.012139369801487776
current_v2,r2p8_w128_di32,temperature,10.0,0.00022804499412249437,0.01186947382313652
current_v2,r2p8_w128_di32,temperature,20.0,0.0003441650078355646,0.003001572164712266
current_v2,r2p8_w128_di32,temperature,30.0,0.00038210094071013735,0.0005380781680431563
current_v2,r2p8_w128_di32,temperature,50.0,6.265417603892186e-05,0.005066114989691812
current_v2,r2p8_w128_di32,temperature,70.0,8.538390494806237e-05,0.0011185209145842987
current_v2,r2p8_w128_di32,temperature,100.0,8.415173923474589e-05,0.0005718085862433525
current_v2,r2p8_w128_di32,temperature,125.0,6.966086348707334e-05,0.0008296131603911079
current_v2,r2p8_w128_di32,temperature,150.0,6.718220495948651e-05,0.00032375978962036656
current_v2,r2p8_w128_di32,temperature,175.0,7.170318441505575e-05,0.00016746258048970413
current_v2,r2p8_w128_di32,temperature,200.0,8.546031908439729e-05,0.0001186870223859042
current_v2,r2p8_w128_di32,temperature,225.0,0.00010006621570076687,0.00014518505278917856
current_v2,r2p8_w128_di32,temperature,250.0,0.00010881067454417813,0.0001609343657772075
current_v2,r2p8_w128_di32,temperature,300.0,0.00012056284929798597,0.00018005158568681245
